,ID ANUNCIIO,ID SCRAPE,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,REVIEWS ULTIMOS 30D,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,ANUNCIOS HABITACION COMPARTIDA,REVIEWS POR MES,FUENTE INFO,NOMBRE ANFITRION,FECHA INICIO ANFITRION,TIEMPO DE RESPUESTA,TASA DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,TIPO DE PROPIEDAD,TIPO DE CUARTO,AMENIDADES,PRECIO,TIENE DISPONIBILIDAD,RESERVA INSTANTANEA
0,42515,20241229042300,1,1,46.20198,6.15672,1,1.5,1.0,1.0,3,1125,3,3,1125,1125,3.0,1125.0,28,58,88,363,79,6,1,4.74,4.73,4.78,4.86,4.84,4.85,4.55,1,0,1,0,0.49,city scrape,Noelle,2010-07-30,within a few hours,100%,88%,f,Private room in rental unit,Private room,"[""Hair dryer"", ""Bathtub"", ""Stove"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Hangers"", ""TV with standard cable"", ""Paid washer \u2013 In building"", ""Iron"", ""Oven"", ""Host greets you"", ""Refrigerator"", ""Heating"", ""Shared hot tub"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Wifi""]",$89.00,t,f
1,203997,20241229042300,6,12,46.19964,6.1558,2,1.0,1.0,0.0,5,730,5,5,1125,1125,5.0,1125.0,11,41,65,65,89,6,0,4.91,4.98,4.89,4.97,4.99,4.96,4.81,2,2,0,0,0.6,city scrape,Mike,2011-08-21,within an hour,100%,100%,t,Entire rental unit,Entire home/apt,"[""Hair dryer"", ""Lake access"", ""Private entrance"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Free dryer \u2013 In unit"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Smoke alarm"", ""Host greets you"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Heating"", ""Hot water"", ""Shampoo"", ""Wifi""]",$130.00,t,t
2,276025,20241229042300,2,2,46.28031,6.16833,3,1.0,1.0,4.0,7,360,7,7,1125,1125,7.0,1125.0,2,2,2,156,122,4,1,4.64,4.7,4.74,4.88,4.89,4.77,4.68,1,1,0,0,0.78,city scrape,Gaby,2011-11-25,within an hour,100%,100%,t,Entire rental unit,Entire home/apt,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Lake access"", ""Freezer"", ""Books and reading material"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Outdoor furniture"", ""BBQ grill"", ""Indoor fireplace"", ""Dishes and silverware"", ""Kitchen"", ""Fireplace guards"", ""Essentials"", ""Baking sheet"", ""Dining table"", ""Dedicated workspace"", ""Portable fans"", ""High chair"", ""Bed linens"", ""Hangers"", ""Free dryer \u2013 In building"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""Fire pit"", ""Paid parking off premises"", ""Clothing storage: closet and dresser"", ""Children\u2019s dinnerware"", ""Smoke alarm"", ""Oven"", ""Toaster"", ""Body soap"", ""Baby safety gates"", ""Outdoor dining area"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Shared beach access"", ""Dishwasher"", ""Microwave"", ""Free street parking"", ""Crib"", ""Cleaning products"", ""Extra pillows and blankets"", ""Heating"", ""Baby bath"", ""Children\u2019s books and toys"", ""Cooking basics"", ""Hot water"", ""TV"", ""Free washer \u2013 In building"", ""Wifi""]",$70.00,t,f
3,338682,20241229042300,6,12,46.20708,6.15545,2,1.5,1.0,1.0,5,365,3,5,1125,1125,5.0,1125.0,13,13,22,22,121,5,1,4.82,4.86,4.76,4.9,4.89,4.87,4.7,2,2,0,0,0.77,city scrape,Mike,2011-08-21,within an hour,100%,100%,t,Entire rental unit,Entire home/apt,"[""Hair dryer"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""Paid parking off premises"", ""40 inch HDTV with standard cable"", ""Smoke alarm"", ""Oven"", ""Electric stove"", ""Fire extinguisher"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Heating"", ""Shampoo"", ""Cooking basics"", ""Hot water"", ""Courtyard view"", ""Wifi"", ""Self check-in""]",$133.00,t,t
4,399388,20241229042300,2,3,46.18904,6.13908,2,1.0,1.0,1.0,2,1125,2,2,1125,1125,2.0,1125.0,4,4,27,269,57,7,1,4.85,4.81,4.88,4.95,4.89,4.7,4.7,2,0,2,0,0.38,city scrape,Oscar,2012-03-23,within an hour,100%,89%,t,Private room in rental unit,Private room,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Stove"", ""Washer"", ""Wine glasses"", ""Outdoor furniture"", ""Dishes and silverware"", ""Kitchen"", ""Smoking allowed"", ""Essentials"", ""Elevator"", ""Pets allowed"", ""Window guards"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Ethernet connection"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Mountain view"", ""Drying rack for clothing"", ""Clothing storage: wardrobe"", ""Paid parking off premises"", ""Outdoor dining area"", ""Host greets you"", ""Outdoor playground"", ""Patio or balcony"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Free street parking"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Sun loungers"", ""Paid parking on premises"", ""Single level home"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Blender"", ""Room-darkening shades""]",$53.00,t,f
5,411058,20241229042300,1,3,46.21127,6.1454,2,1.5,1.0,1.0,2,7,2,2,7,7,2.0,7.0,23,53,83,83,56,3,0,4.79,4.84,4.86,4.94,4.96,4.89,4.64,1,0,1,0,0.43,city scrape,Julik,2012-02-06,within a day,100%,100%,f,Private room in loft,Private room,"[""Hair dryer"", ""Lake access"", ""Stove"", ""Washer"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Mountain view"", ""City skyline view"", ""Paid parking off premises"", ""Oven"", ""Host greets you"", ""Private living room"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Free street parking"", ""Heating"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Shared hot tub"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi""]",$125.00,t,f
6,419631,20241229042300,2,2,46.1995,6.17308,2,1.5,1.0,1.0,2,14,2,2,1125,1125,2.0,1125.0,28,32,32,32,81,4,0,4.94,4.98,5.0,4.99,4.99,4.86,4.91,2,1,1,0,0.57,city scrape,Mark,2012-04-07,within an hour,100%,90%,f,Private room in rental unit,Private room,"[""Hair dryer"", ""Fast wifi \u2013 92 Mbps"", ""Lake access"", ""Shared patio or balcony"", ""Indoor fireplace: wood-burning"", ""Private entrance"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Garden view"", ""Electrolux induction stove"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""72 inch HDTV with Amazon Prime Video"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Oven"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Board games"", ""Free street parking"", ""Heating"", ""Cooking basics"", ""Hot water"", ""Shampoo""]",$120.00,t,t
7,626512,20241229042300,2,3,46.2114,6.15107,2,1.0,1.0,2.0,30,700,3,30,700,700,29.5,700.0,7,7,7,7,52,13,0,4.98,4.94,4.96,5.0,4.98,4.83,4.73,1,1,0,0,0.35,city scrape,Enrica,2012-07-31,within an hour,100%,73%,t,Entire rental unit,Entire home/apt,"[""Hair dryer"", ""Long term stays allowed"", ""Lake access"", ""Stove"", ""Washer"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Ethernet connection"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Smoke alarm"", ""Oven"", ""Host greets you"", ""Fire extinguisher"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Free street parking"", ""Heating"", ""Pocket wifi"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi""]",$121.00,t,f
8,649023,20241229042300,1,2,46.20175,6.14852,2,1.0,1.0,1.0,1,21,1,1,1125,1125,1.0,1125.0,20,50,80,168,161,37,2,4.91,4.95,4.92,4.97,4.97,4.99,4.85,1,1,0,0,1.08,city scrape,Eliora Elena,2012-05-15,within an hour,100%,98%,t,Entire rental unit,Entire home/apt,"[""Refrigerator"", ""Essentials"", ""Hot tub"", ""Coffee maker"", ""Elevator"", ""Heating"", ""Self check-in"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""Hangers"", ""Lockbox""]",$101.00,t,f
9,664917,20241229042300,4,4,46.20542,6.12802,2,1.0,1.0,2.0,15,730,9,15,1125,1125,14.8,1125.0,28,32,32,32,47,2,0,4.89,4.89,4.93,4.96,4.98,4.8,4.76,4,4,0,0,0.32,city scrape,Jean-Luc,2012-08-24,within an hour,100%,100%,f,Entire rental unit,Entire home/apt,"[""Hair dryer"", ""Bio Balance body soap"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Clothing storage: walk-in closet, closet, wardrobe, and dresser"", ""Wine glasses"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Pets allowed"", ""Shower gel"", ""44 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, Roku"", ""Dining table"", ""Coffee"", ""Free dryer \u2013 In unit"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""City skyline view"", ""Paid parking off premises"", ""Smoke alarm"", ""Oven"", ""Host greets you"", ""Autre stainless steel electric stove"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Free street parking"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Room-darkening shades""]",$118.00,t,f
